詞彙,詞類
醋,N
存,V
存在,Vi
錯,N
錯誤,N
挫折,N
答應,V
達成,Vpt
打工,V-sep
打架,V-sep
打聽,V
打仗,V-sep
打折,V-sep
大方,Vs
大會,N
大陸,N
大門,N
大小,N
代表,N
代表,V
代替,V
帶來,V
帶領,V
單純,Vs
單身,Vs
擔任,V
淡,Vs
當,Vst
當地,N
當年,N
當天,N
當中,N
當作,Vst
當做,Vst
倒,V
島,N
導演,N
到底,Vs-pred
道德,N
道教,N
道理,N
道歉,V-sep
得,Vaux
得到,Vpt
得意,Vs
得,Vpt
燈光,N
等,V
等待,V
低,Vs
敵人,N
底,N
底下(˙ㄒㄧㄚ),N
抵達,V
地板,N
地帶,N
地點,N
地理,N
地區,N
地攤,N
地位,N
地下,N
地形,N
點,N
點,V
電,N
電車,N
電池,N
電燈,N
店員,N
調查,V
訂,V
丟,Vpt
東北,N
東方,N
東南,N
懂事,Vs
逗,V
豆腐(˙ㄈㄨ),N
豆漿,N
都市,N
毒品,N
獨特,Vs
讀者,N
對,V
對方,N
對話,N
對象,N
兒童,N
發,V
發表,V
發財,Vp-sep
發出,Vpt
發達,Vs
發揮,V
發覺,Vpt
發明,N
發明,Vpt
發脾氣(˙ㄑㄧ),Vi
發票,N
法律,N
翻,V
翻譯,V
煩惱,Vs
反應,N
犯,Vst
範圍,N
方面,N
方式,N
房東,N
房客,N
房屋,N
訪問,V
放心,Vs-sep
非,Vst
飛,Vi
費用,N
分開,Vp
豐富,Vs
風格,N
風俗,N
佛教,N
夫婦,N
符合,Vst
福利,N
服裝,N
腐敗,Vs
付出,Vpt
負擔,N
負擔,V
負責,Vs
複習,V
該,Vaux
改,V
改變,N
改變,V
改進,V
改善,V
蓋,V
概念,N
敢,Vaux
趕,V
趕上,Vpt
感動,Vs
感想,N
感興趣,Vs
高速,Vs-attr
高中,N
搞,V
歌曲,N
歌星,N
隔壁,N
革命,Vi
個人,N
個子/個兒,N
各式各樣,Vs-attr
各位,N
跟,V
根,N
公共,Vs-attr
公路,N
功夫,N
功能,N
工具,N
工業,N
工作,Vi
恭喜,V
共同,Vs-attr
貢獻,N
貢獻,V
溝通,V
購買,V
姑娘（˙ㄋㄧㄤ）,N
古,Vs-attr
古代,N
古蹟,N
古老,Vs
顧,V
故意,Vs
刮,V
乖,Vs
怪,V
怪,Vs
關,Vp
觀察,V
觀點,N
觀念,N
觀眾,N
管,V
廣播,N
廣播,Vi
廣場,N
廣告,N
逛,V
逛街,V-sep
規矩,N
規模,N
鬼,N
櫃子,N
國內,N
國外,N
國王,N
國語,N
過去,N
過日子,Vi
海報,N
海灘,N
海洋,N
害,V
害怕,Vs
航空,N
好,Vs
好處,N
合唱,V
合作,Vs
黑,Vs
恨,Vst
恨不(˙ㄅㄨ)得,Vst
紅,Vs
紅包,N
紅豆,N
厚,Vs
後,N
糊塗,Vs
花,V
花心,Vs
滑雪,V-sep
畫家,N
話題,N
化妝品,N
壞處,N
還,V
環保,N
黃,Vs
回答,N
回想,V
會,N
會場,N
會話,N
會議,N
婚禮,N
婚姻,N
混亂,Vs
活,Vs-attr
活動,Vi
基本,N
基本,Vs
基礎,N
基督教,N
激動,Vs
激烈,Vs
積極,Vs
機器,N
急,Vs
擠,V
擠,Vs
記,Vst
記錄,N
記錄,V
記憶,N
季節,N
紀念,N
紀念,Vst
技巧,N
繼續,V
加,V
加強,V
加入,Vpt
加上,V
加油,Vi
家鄉,N
家長,N
假,Vs
假裝,V
假日,N
價值,N
肩膀,N
堅持,Vs
堅強,Vs
減,Vst
減輕,Vpt
減少,Vpt
見,Vpt
建立,V
建設,N
建設,V
建議,N
建議,V
將來,N
講價,Vi
講究(˙ㄐㄧㄡ),Vs
獎學金,N
降低,Vpt
醬油,N
交,V
交流,Vi
交友,Vi
驕傲,Vs
郊區,N
角度,N
角色,N
叫,V
叫,Vst
教,Vst
教材,N
教導,V
教法,N
教練,N
教授,N
教訓(˙ㄒㄩㄣ),N
教育,N
教育,V
接觸,V
接受,V
結,V
結局,N
節日,N
解決,V
解釋,V
姊妹,N
金(子),N
緊,Vs
盡,Vst
進,V
進行,V
經,V
經費,N
經過,N
經過,Vst
經驗,Vpt
精神,N
驚訝,Vs
酒吧,N
救,V
舅舅(˙ㄐㄧㄡ),N
舅媽,N
居住,Vi
橘子,N
舉,V
舉辦,V
舉手,V-sep
舉行,V
聚,Vi
劇本,N
劇情,N
拒絕,V
距離,N
具有,Vst
軍隊,N
軍人,N
卡車,N
開放,V
開花,Vp-sep
開朗,Vs
開始,N
開玩笑,V-sep
看不(˙ㄅㄨ)起,Vst
看法,N
考,V
科技,N
科學,Vs
可,Vaux
可靠,Vs
可樂,N
可惡,Vs
可惜,Vs
可以,Vaux
渴望,Vst
克服,Vpt
課程,N
課堂,N
課文,N
客滿,Vp
刻,V
肯,Vaux
肯定,Vs
空,Vs
空間,N
空軍,N
空,Vs
口,N
口袋,N
口味,N
誇張,Vs
寬,Vs
困難,N
困難,Vs
擴大,V
拉肚子,V-sep
來不及,Vs
來得及,Vs
藍,Vs
浪漫,Vs
老公,N
老虎,N
老婆(˙ㄆㄛ),N
老實(˙ㄕ),Vs
樂,Vs
樂觀,Vs
樂趣,N
垃圾,N
淚,N
冷淡,Vs
離婚,Vp-sep
裡邊,N
理解,Vst
理論,N
理想,N
理想,Vs
裏面,N
禮堂,N
力,N
力量(˙ㄌㄧㄤ),N
厲害(˙ㄏㄞ),Vs
例子,N
利益,N
利用,V
連,Vst
連/聯絡,V
連續劇,N
練,V
戀愛,Vp
涼,Vs
良好,Vs
亮,Vs
聊,V
了不(˙ㄅㄨ)起,Vs
靈魂,N
零錢,N
零用錢,N
領,V
領導,V
領域,N
令,Vst
流,V
流汗,V-sep
流血,V-sep
留學,Vi
留學生,N
龍,N
錄,V
錄取,V
錄音,V-sep
露營,V-sep
亂,Vs
輪胎,N
旅客,N
綠,Vs
律師,N
麻煩(˙ㄈㄢ),Vs
馬桶,N
碼頭 (˙ㄊㄡ),N
螞蟻,N
罵,V
滿,Vs
滿足,Vs
慢跑,Vi
慢用,Vi
毛,N
毛病,N
貿易,N
沒,Vp
沒什麼,Vs
玫瑰 (˙ㄍㄨㄟ),N
美好,Vs
夢,N
迷路,Vp-sep
迷人,Vs
米飯,N
米粉,N
秘/祕密,N
密切,Vs
免費,Vs
面,N
面積,N
面前,N
麵條,N
描寫,V
廟,N
民國,N
民族,N
名詞,N
明白,Vpt
明顯,Vs
明星,N
命,N
摸,V
摩托車/機車,N
陌生,Vs
木,N
木頭(˙ㄊㄡ),N
目的,N
目前,N
拿手,Vs
那樣,Vs
奶,N
奶茶,N
耐心,N
南方,N
難看,Vs
腦,N
腦子,N
鬧鐘,N
內,N
內容,N
能,Vaux
能夠,Vaux
能力,N
年,N
年代,N
年齡,N
念書,V-sep
農業,N
女士,N
拍,V
排,V
牌子,N
盼望,Vst
旁,N
陪,V
培養,V
配,V
配合,V
碰,V
碰到,Vpt
碰上,Vpt
批評,V
皮,N
皮帶,N
皮膚,N
皮鞋,N
騙子,N
品質,N
平,Vs
平安,Vs
平等,Vs
平時,N
平原,N
瓶子,N
破,Vp
破壞,V
葡萄(˙ㄊㄠ),N
普遍,Vs
欺負,V
期間,N
起,N
起,V
氣,N
氣,Vst
氣溫,N
汽水,N
企業,N
簽名,V-sep
簽證,N
謙虛,Vs
前,N
前年,N
淺,Vs
強盜,N
強調,V
搶,V
親,V
親切,Vs
清,Vs-pred
青年,N
青少年,N
輕鬆,Vs
晴,Vs-pred
情,N
情人,N
情況,N
情形,N
請教,V
請求,V
窮,Vs
求,V
球,N
球場,N
球賽,N
球員,N
取代,V
去世,Vp
全球,N
全身,N
缺點,N
確定,Vs
確認,V
讓,V
熱狗,N
熱水,N
人家,N
人間,N
人口,N
人類,N
人們,N
人民,N
人人,N
人數,N
人物,N
忍,Vs
忍耐,Vst
認,V
認得,Vst
任務,N
扔,Vpt
日出,Vi
日記,N
日子,N
如此,Vs
如下,Vs
如意,Vs
弱,Vs
傘,N
殺,V
晒,V
山區,N
傷害,V
商品,N
商人,N
商業,N
上,N
上當,Vp
上帝,N
上街,Vi
上衣,N
燒,V
蛇,N
設備,N
設計,N
設計,V
深,Vs
深入,Vs
身邊,N
身高,N
身上,N
升,V
聲調,N
生,V
生產,V
生動,Vs
生活,Vi
生命,N
生意,N
生字,N
省,Vst
省錢,Vs-sep
剩,Vst
剩下(˙ㄒㄧㄚ),Vpt
濕,Vs
失戀,Vp
失去,Vpt
獅子,N
石頭(˙ㄊㄡ),N
石油,N
時,N
時代,N
時刻,N
實話,N
實際,Vs
實力,N
實行,V
實在,Vs
使得,Vst
使用,V
事實,N
事業,N
適應,Vst
市長,N
收穫,N
收音機,N
熟,Vs
手套,N
手續,N
受得了,Vst
書包,N
書架,N
蔬菜,N
舒適,Vs
叔叔(˙ㄕㄨ),N
熟悉,Vst
數,V
數字,N
樹木,N
刷牙,V-sep
帥,Vs
雙,Vs-attr
水餃,N
水平,N
水準,N
睡著,Vp
順利,Vs
說法,N
說明,N
說明,V
思考,V
思想,N
寺廟,N
速度,N
算了,Vs
隨便,Vs
所謂,Vs-attr
它,N
它們,N
抬,V
颱風,N
態度,N
談話,V-sep
堂,N
討厭,Vst
特色,N
特殊,Vs
提,V
提到,Vpt
提高,V
提供,V
題材,N
題目,N
體會,Vst
體力,N
體貼,Vst
體重,N
天堂,N
天下,N
田,N
填,V
甜點,N
條件,N
挑戰,V
貼,V
鐵,N
鐵路,N
聽見,Vpt
聽力,N
聽眾,N
通,Vs-pred
通過,Vpt
同情,Vst
同時,N
同樣,Vs-attr
痛苦,Vs
投,V
投資,V
頭痛,Vs
圖,N
土,N
土地,N
兔子,N
團體,N
團圓,Vs
推,V
推薦,V
推銷,V
退步,Vp
退休,Vp
脫,V
娃娃(˙ㄨㄚ),N
外邊,N
外公,N
外婆,N
外文,N
外語,N
完成,Vpt
玩具,N
晚,Vs
網,N
網路,N
忘記,Vpt
維持,V
微笑,Vi
為主,Vs
偉大,Vs
未來,N
位置,N
位子,N
溫柔,Vs
文件,N
文學,N
文字,N
聞,V
穩定,Vs
問好,Vi
問候,V
握手,V-sep
屋子,N
無,Vs-attr
無窮,Vs
無所謂,Vs
誤會,N
物價,N
西北,N
西餐,N
西方,N
西南,N
吸毒,V-sep
吸收,V
吸引,Vst
犧牲,Vpt
希望,N
喜愛,Vst
細,Vs
細心,Vs
戲,N
戲劇,N
系統,N
下,N
下,V
嚇,Vs-pred
嚇一跳,Vp
線,N
現代,N
現代,Vs
現實,N
現實,Vs
現象,N
限制,N
相對,Vs-attr
相反,Vs
相關,Vs
相同,Vs
箱子,N
香水,N
詳細,Vs
響,Vp
想到,Vpt
想法,N
想像,N
想像,Vst
相聲,N
小吃,N
小朋友,N
小組,N
效果,N
笑話,N
孝順,Vs
孝順,Vst
協助,V
血,N
謝,V
心得,N
心理,N
心意,N
欣賞,Vst
新生,N
信,Vst
信箱,N
信心,N
興奮,Vs
行,Vs
行動,N
行為,N
形容,V
醒,Vp
醒來,Vp
姓,N
性別,N
性格,N
幸運,Vs
兇,Vs
兄弟,N
熊貓,N
修,V
修改,V
修理,V
需求,N
需要,N
選,V
選舉,N
選擇,N
選擇,V
學會,Vpt
學問,N
尋找,V
訓練,V
鴨(子),N
押金,N
牙,N
牙齒,N
煙火,N
研究,N
研究,V
嚴重,Vs
演,V
演出,V
演講,Vi
演員,N
眼光,N
眼淚,N
陽光,N
養,V
邀請,V
要求,N
要求,V
咬,V
要,Vst
要緊,Vs
野餐,Vi
夜裡/裏(˙ㄌㄧ),N
夜市,N
一下子/一下子兒,N
衣櫃,N
依靠,V
一樣,N
以後,N
以來,N
以內,N
以前,N
以上,N
以外,N
以為,V
以下,N
一生,N
一時,N
意見,N
意外,N
意義,N
陰,Vs
音響,N
引起,V
應,Vaux
應該,Vaux
英俊,Vs
營養,N
影片,N
擁有,Vst
用法,N
用功,Vs
用品,N
優點,N
優秀,Vs
幽默,Vs
郵票,N
遊客,N
游泳池,N
有名,Vs
有錢,Vs
有效,Vs
有意思(˙ㄙ),Vs
友誼,N
玉,N
玉米(˙ㄇ一),N
預備,V
預習,V
遇到,Vpt
圓,N
員工,N
原諒,Vst
原因,N
願望,N
院子,N
約會,N
約會,Vi
月餅,N
閱讀,V
樂團,N
運氣,N
在,Vst
在意,Vst
在於,Vst
早晚,N
造成,Vpt
噪音,N
責任,N
增加,Vpt
炸,V
摘,V
站,N
戰爭,N
長,Vs
長大,Vp
掌握,V
障礙,N
招待,V
招牌,N
找錢,V-sep
照,V
哲學,N
這裏,N
這下子,N
這樣,Vs
這樣子,Vs
真理,N
真實,Vs
真心,Vs
真正,Vs-attr
珍貴,Vs
整理,V
整齊,Vs
正常,Vs
正確,Vs
正式,Vs
證明,V
證書,N
知,Vst
知識,N
之後,N
之間,N
之前,N
直,Vs
值得,Vst
殖民地,N
植物,N
職員,N
指,V
制度,N
智慧,N
中,N
中部,N
中餐,N
鐘,N
種,V
重點,N
重視,Vst
周圍,N
主動,Vs
主婦,N
主管,N
主人,N
主任,N
主題,N
主要,Vs-attr
主意,N
祝,V
祝福,N
祝福,V
助,V
助理,N
著名,Vs
抓,V
專心,Vs
專業,Vs-attr
狀態,N
追求,V
準時,Vs
著,V
資料,N
資源,N
仔細,Vs
自動,Vs
自然,Vs
自殺,Vi
自信,N
自由,N
自由,Vs
自在,Vs
宗教,N
總統,N
走走(˙ㄗㄡ),Vi
祖父,N
祖母,N
祖先,N
嘴,N
醉,Vp
最初,N
最後,N
最佳,Vs-attr
尊敬,Vst
作,V
作品,N
作者,N
做/作法,N
做夢,V-sep
做人,Vi
做事,Vi
愛好,N
愛好,Vst
愛護,Vst
愛人,N
安慰,V
安裝,V
按,V
暗,Vs
骯髒,Vs
熬,V
拔,V
把握,N
罷工,Vi
擺脫,V
敗,Vp
拜,V
拜拜(˙ㄅㄞ),Vi
拜訪,V
拜年,V-sep
拜託,V
班長,N
搬運,V
拌,V
半路,N
辦公,Vi
辦事,Vi
扮演,V
傍晚,N
棒子,N
包裹,N
包括,Vst
包裝,N
包裝,V
保,V
保持,V
保存,V
保留,V
保衛,V
保障,N
