詞彙,詞類
瘟疫,N
文明,N
文壇,N
文獻,N
聞名,Vst
穩健,Vs
紊亂,Vs
問世,Vp
臥,Vi
烏龜,N
烏龍茶,N
烏鴉,N
汙染,N
無比,Vs
無線電,N
無形,Vs
五金,N
武力,N
武士,N
武裝,N
侮辱,V
物產,N
物品,N
物體,N
物資,N
誤差,N
誤解,Vst
務實,Vs
西服,N
西洋,N
西醫,N
溪流,N
席位,N
錫,N
襲擊,V
昔日,N
習題,N
洗禮,N
喜氣,N
喜悅,Vs
系,N
戲曲,N
瑕疵,N
峽谷,N
狹小,Vs
狹窄,Vs
下筆,Vi
下跌,Vp
下滑,Vp
下列,Vs-attr
下水,V-sep
下水道,N
下旬,N
掀,V
仙丹,N
先後,N
先進,N
先驅,N
先天,Vs-attr
鮮明,Vs
鮮艶/豔,Vs
纖維,N
嫌疑,N
顯現,Vst
限,Vst
限度,N
憲法,N
線路,N
陷入,V
獻身,V-sep
現今,N
現行,Vs-attr
現狀,N
相傳,Vi
相仿,Vs
相符,Vs
相配,Vs
鄉土,Vs
香皂,N
鑲,V
想開,Vp
響亮,Vs
嚮導,N
嚮往,Vst
象徵,N
象徵,Vst
消毒,V-sep
消防,Vs-attr
消耗,V
消遣,N
消遣,V
瀟灑,Vs
逍遙,Vs
小販,N
小伙/夥子,N
效法,V
效勞,Vi
效力,N
效忠,V
笑嘻嘻,Vi
孝子,N
協辦,V
協定,N
協會,N
協商,V
協調,V
協調,Vs
協議,N
協議,V
血汗,N
血跡,N
血壓,N
寫實,Vs
寫作,Vi
洩氣,Vs
心愛,Vs-attr
心軟,Vs
心事(˙ㄕ),N
心思,N
心酸,Vs
心態,N
心疼,Vst
心胸,N
辛勤,Vs
辛酸,Vs
新潮,Vs
新手,N
新穎,Vs
信賴,Vst
信念,N
信徒,N
信息,N
星辰,N
星座,N
興建,V
興隆,Vs
興起,Vpt
行善,Vi
行使,V
行星,N
行政,N
刑事,N
形勢,N
形態,N
形體,N
形形色色,Vs
型態,N
性,N
性能,N
性情(˙ㄑㄧㄥ),N
興致,N
胸,N
胸口,N
修補,V
修訂,V
修建,V
修女,N
修養,N
修築,V
繡,V
虛擬,V
虛心,Vs
許,N
許久,N
許可,V
酗酒,Vi
序幕,N
敘述,V
宣稱,V
宣告,V
宣示,V
宣誓,Vi
宣言,N
宣揚,V
旋律,N
旋轉,Vi
懸殊,Vs
懸崖,N
選拔,V
選購,V
選民,N
選票,N
選修,V
學分,N
學科,N
學年,N
學識,N
學說,N
學徒,N
學員,N
學制,N
雪人,N
削弱,V
循環,N
巡邏,Vi
巡視,V
詢問,V
訓,V
押,V
鴉片,N
壓歲錢,N
壓縮,V
壓制,V
牙科,N
芽,N
啞,Vp
亞軍,N
亞洲,N
淹,V
研究所,N
言論,N
岩石,N
延遲,Vpt
延伸,Vs
延誤,Vpt
延續,Vst
沿海,N
沿途,N
沿襲,Vst
沿用,V
嚴禁,V
嚴厲,Vs
嚴密,Vs
演變,Vs
演講,N
演說,N
演習,Vi
眼界,N
眼看,V
衍生,V
燕窩,N
燕子,N
央求,V
仰,V
仰慕,Vst
養分,N
養老,Vs
養育,V
邀,V
窯,N
搖晃(˙ㄏㄨㄤ),Vi
謠言(˙ㄧㄢ),N
遙遠,Vs
要點,N
要犯,N
藥品,N
業績,N
依賴,Vst
醫療,N
醫術,N
醫藥,N
一定,Vs-attr
一貫,Vs-attr
儀表,N
遺產,N
遺傳,Vst
遺憾,Vs
遺留,V
遺棄,V
遺體,N
遺忘,Vpt
遺志,N
遺址,N
疑慮,N
移植,V
倚,V
一連串,Vs-attr
一流,Vs
液體,N
抑制,V
意識到,Vpt
意圖,N
意味,Vst
毅力,N
翌日,N
異常,Vs
異鄉,N
議定,V
議論,V
議題,N
議員,N
音,N
因果,N
陰謀,N
陰影,N
銀幕,N
銀色,N
銀子,N
引,V
引導,V
引進,V
引擎,N
隱藏,V
隱士,N
印證,V
櫻桃,N
英勇,Vs
英語,N
應,V
鷹,N
營地,N
營造,V
迎,V
迎合,Vst
影射,Vst
硬體,N
應變,Vi
應酬,Vi
應急,Vs
應驗,Vpt
應徵,V
湧,V
踴躍,Vs
用戶,N
用途,N
用心,N
悠久,Vs
悠閒,Vs
優待,V
優勢,N
優異,Vs
鈾,N
由來,N
遊覽,V
油田,N
油條,N
友愛,Vst
有機,Vs-attr
有理,Vs
有所,Vst
有為,Vs
有限,Vs
有形,Vs
有心人,N
有益,Vst
有意,Vaux
有緣,Vs
誘惑,V
幼稚,Vs
逾,Vst
餘,N
餘,Vst
愚蠢,Vs
輿論,N
漁民,N
予,V
予以,V
與會,Vi
雨季,N
語文,N
宇宙,N
玉器,N
預測,V
預防,V
預告,V
預估,V
預賽,N
預約,V
寓言,N
園林,N
元氣,N
元首,N
元素,N
原形,N
原野,N
原狀,N
原住民,N
原子,N
原子彈,N
援助,V
遠景,N
怨,Vst
約束,V
躍,Vi
樂隊,N
月台,N
運,V
運行,Vi
孕婦,N
醞釀,V
栽,V
災禍,N
災情,N
在場,Vi
在世,Vs
在座,Vi
再生,Vs-attr
咱,N
贊助,V
讚嘆/歎,Vi
贓物,N
遭,Vst
遭遇,Vst
造反,Vi
造化,N
造物主,N
造型,N
責備,V
增進,V
增強,Vp
增值,Vp
贈,V
扎,V
炸藥,N
沾,V
展望,Vst
展現,V
嶄新,Vs-attr
占/佔據,V
占/佔領,V
顫抖,Vi
戰火,N
戰機,N
戰亂,N
戰略,N
戰勝,V
戰士,N
戰術,N
戰線,N
戰友,N
戰戰兢兢,Vs
張開,V
張貼,V
長子,N
帳篷,N
朝氣,N
著想,Vs
找尋,V
沼澤,N
召集,V
照耀,V
遮,V
遮蔽,V
折騰(˙ㄊㄥ),V
針灸,Vi
真情,N
診斷,V
診所,N
鎮定,Vs
鎮壓,V
振動,Vi
震驚,Vs
陣營,N
蒸,V
蒸發,Vi
蒸氣,N
爭辯,Vi
爭奪,V
爭論,N
爭氣,Vs
爭議,N
徵收,V
掙扎,Vi
整,V
整頓,V
整體,N
正當,Vs
正統,N
正義,N
政績,N
政見,N
政權,N
證券,N
證人,N
掙,V
之內,N
支撐,V
支付,V
支配,V
支應,V
知足,Vs
脂肪,N
織,V
直徑,N
值班,V-sep
值錢,Vs
殖民,Vi
質量,N
質疑,V
職務,N
職責,N
執照,N
執政,Vi
執著,Vs
止,N
指標,N
指點,V
指揮,N
指揮,V
指控,V
指南針,N
指數,N
指頭(˙ㄊㄡ),N
指望,Vst
指紋,N
指引,V
指正,V
治安,N
治本,Vi
治標,Vi
治理,V
治療,V
志趣,N
志向,N
致詞,Vi
致富,Vs
致力,Vst
致命,Vs
致意,Vi
智力,N
制裁,V
制訂,V
製品,N
滯留,Vi
中斷,V
中和,V
中立,Vs
中旬,N
中葉,N
中醫,N
中庸,Vs
忠實,Vs
終場,N
終結,V
終身,N
種植,V
中風,Vp
中獎,Vp
中肯,Vs
中暑,Vp
重用,V
重鎮,N
周邊,N
周密,Vs
周詳,Vs
周遊,V
周轉,V
皺,Vs
皺紋,N
逐,V
主導,V
主管,V
主見,N
主力,N
主流,N
主權,N
主人翁,N
主義,N
主宰,V
主旨,N
主軸,N
囑咐,V
矚目,Vi
注定,Vaux
注目,Vi
注視,V
注重,Vst
住戶,N
住宿,Vi
柱子,N
助教,N
助手,N
佇立,Vi
著作,N
駐,V
抓緊,V
專櫃,N
專員,N
專制,Vs
磚,N
轉動,V
轉化,Vp
轉機,N
轉手,V
轉向,Vi
轉移,V
轉帳,V-sep
撰寫,V
莊嚴,Vs
裝備,N
裝潢,V
裝配,V
裝運,V
裝置,V
壯觀,Vs
壯麗,Vs
狀元,N
追捕,V
追查,V
追究,V
準備,N
準則,N
准許,V
卓越,Vs
著手,Vi
著眼,Vi
著重,Vst
資深,Vs
資助,V
姿勢,N
姿態,N
滋味,N
子彈,N
子弟,N
子孫,N
紫外線,N
自稱,Vst
自費,Vi
自豪,Vs
自覺,Vst
自立,Vs
自滿,Vs
自身,N
自制,Vi
自治,Vi
自傳,N
字體,N
字眼/字眼兒,N
字樣,N
宗旨,N
總裁,N
總額,N
總和,N
總結,N
總經理,N
總數,N
縱火,V-sep
縱容,Vst
走廊,N
揍,V
租賃,V
足夠,Vs
祖宗,N
阻擋,V
阻力,N
阻撓,V
阻塞,Vs
組織,V
組裝,V
鑽研,V
嘴脣,N
罪惡,N
罪名,N
罪行,N
尊,Vst
尊嚴,N
遵循,Vst
作風,N
作怪,Vi
作為,N
作物,N
作戰,Vi
作證,V-sep
坐牢,V-sep
坐鎮,Vi
座談,Vi
座右銘,N
